Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount_Percent,Payment_Method,Order_Status,Customer_Rating,Customer_Name,Gender,Age,City,State,Registration_Date,Product,Category,Unit_Price,Unit_Cost,Gross_Sales,Discount_Amount,Net_Sales,Total_Cost,Profit,Profit_Margin,Order_Size,Customer_Type,Year,Month,Year_Month
O0111,2025-05-06,C044,P003,4,15,Credit Card,Delivered,4.0,Ananya Mehta,Female,40,Mumbai,Maharashtra,2023-04-09,Smart Watch,Electronics,4999,3100,19996,2999.4,16996.6,12400,4596.5999999999985,27.044232375886935,Large,High-Value,2025,May,2025-05
O0113,2025-05-28,C020,P017,2,5,Cash on Delivery,Delivered,5.0,Simran Mehta,Female,52,Kolkata,West Bengal,2023-12-07,Office Chair,Furniture,8499,5600,16998,849.9,16148.1,11200,4948.1,30.64199503347143,Large,High-Value,2025,May,2025-05
O0131,2025-12-12,C004,P018,4,5,Credit Card,Delivered,4.0,Ananya Mehta,Female,48,Mumbai,Maharashtra,2023-03-10,Study Table,Furniture,7299,4700,29196,1459.8,27736.2,18800,8936.2,32.21854471773351,Large,High-Value,2025,December,2025-12
O0138,2024-02-28,C045,P017,3,0,Cash on Delivery,Returned,5.0,Kabir Das,Male,47,Pune,Maharashtra,2023-04-26,Office Chair,Furniture,8499,5600,25497,0.0,25497.0,16800,8697.0,34.10989528179786,Large,High-Value,2024,February,2024-02
O0163,2024-11-29,C020,P017,4,25,Cash on Delivery,Delivered,5.0,Simran Mehta,Female,52,Kolkata,West Bengal,2023-12-07,Office Chair,Furniture,8499,5600,33996,8499.0,25497.0,22400,3097.0,12.146527042397144,Large,High-Value,2024,November,2024-11
O0166,2025-01-01,C009,P013,3,10,Credit Card,Delivered,4.0,Vivek Gupta,Male,47,Jaipur,Rajasthan,2023-06-03,Air Fryer,Home Appliances,6999,4350,20997,2099.7,18897.3,13050,5847.299999999999,30.942515597466304,Large,High-Value,2025,January,2025-01
O0191,2025-10-03,C034,P013,4,5,Credit Card,Delivered,4.0,Isha Khan,Female,42,Mumbai,Maharashtra,2024-08-01,Air Fryer,Home Appliances,6999,4350,27996,1399.8,26596.2,17400,9196.2,34.57712003970492,Large,High-Value,2025,October,2025-10
O0206,2024-03-17,C029,P018,3,20,Credit Card,Delivered,4.0,Vivek Das,Male,43,Jaipur,Rajasthan,2024-05-08,Study Table,Furniture,7299,4700,21897,4379.4,17517.6,14100,3417.5999999999985,19.509521852308527,Large,High-Value,2024,March,2024-03
O0207,2024-03-28,C042,P025,4,15,Debit Card,Delivered,2.0,Aditi Khan,Female,26,Delhi,Delhi,2023-03-06,Coffee Maker,Home Appliances,5299,3400,21196,3179.4,18016.6,13600,4416.5999999999985,24.514059256463476,Large,High-Value,2024,March,2024-03
O0231,2024-12-17,C004,P018,4,15,Credit Card,Delivered,4.0,Ananya Mehta,Female,48,Mumbai,Maharashtra,2023-03-10,Study Table,Furniture,7299,4700,29196,4379.4,24816.6,18800,6016.5999999999985,24.244255860996265,Large,High-Value,2024,December,2024-12
O0238,2025-03-04,C045,P017,3,10,Cash on Delivery,Returned,5.0,Kabir Das,Male,47,Pune,Maharashtra,2023-04-26,Office Chair,Furniture,8499,5600,25497,2549.7,22947.3,16800,6147.299999999999,26.788772535330953,Large,High-Value,2025,March,2025-03
