Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount_Percent,Payment_Method,Order_Status,Customer_Rating,Customer_Name,Gender,Age,City,State,Registration_Date,Product,Category,Unit_Price,Unit_Cost,Gross_Sales,Discount_Amount,Net_Sales,Total_Cost,Profit,Profit_Margin,Order_Size,Customer_Type,Year,Month,Year_Month
O0011,2024-05-01,C044,P003,4,5,Credit Card,Delivered,4.0,Ananya Mehta,Female,40,Mumbai,Maharashtra,2023-04-09,Smart Watch,Electronics,4999,3100,19996,999.8,18996.2,12400,6596.200000000001,34.723786862635684,Large,High-Value,2024,May,2024-05
O0012,2024-05-12,C007,P010,1,0,Debit Card,Delivered,2.0,Rohan Patel,Male,33,Hyderabad,Telangana,2023-04-30,Winter Jacket,Fashion,4499,2500,4499,0.0,4499.0,2500,1999.0,44.432096021338076,Medium,High-Value,2024,May,2024-05
O0013,2024-05-23,C020,P017,2,25,Cash on Delivery,Delivered,5.0,Simran Mehta,Female,52,Kolkata,West Bengal,2023-12-07,Office Chair,Furniture,8499,5600,16998,4249.5,12748.5,11200,1548.5,12.146527042397144,Large,High-Value,2024,May,2024-05
O0014,2024-06-03,C033,P024,3,20,Net Banking,Delivered,3.0,Aman Gupta,Male,35,Gurugram,Haryana,2024-07-15,Hair Dryer,Beauty,2299,1320,6897,1379.4,5517.6,3960,1557.6000000000004,28.229665071770338,Large,High-Value,2024,June,2024-06
O0015,2024-06-14,C046,P006,4,15,UPI,Delivered,1.0,Meera Singh,Female,54,Bengaluru,Karnataka,2023-05-13,Running Shoes,Fashion,3299,1900,13196,1979.4,11216.6,7600,3616.6000000000004,32.24328227805218,Large,High-Value,2024,June,2024-06
O0016,2024-06-25,C009,P013,1,10,Credit Card,Delivered,4.0,Vivek Gupta,Male,47,Jaipur,Rajasthan,2023-06-03,Air Fryer,Home Appliances,6999,4350,6999,699.9,6299.1,4350,1949.1000000000004,30.942515597466308,Large,High-Value,2024,June,2024-06
O0017,2024-07-06,C022,P020,2,5,Debit Card,Delivered,2.0,Aditi Singh,Female,30,Delhi,Delhi,2024-01-10,Data Science Handbook,Books,999,410,1998,99.9,1898.1,820,1078.1,56.79890416732521,Medium,Regular,2024,July,2024-07
O0018,2024-07-17,C035,P002,3,0,Cash on Delivery,Returned,5.0,Nikhil Verma,Male,49,Pune,Maharashtra,2024-08-18,Bluetooth Speaker,Electronics,2499,1550,7497,0.0,7497.0,4650,2847.0,37.975190076030415,Large,High-Value,2024,July,2024-07
O0019,2024-07-28,C048,P009,4,25,Net Banking,Cancelled,3.0,Kavya Sharma,Female,32,Chennai,Tamil Nadu,2023-06-16,Handbag,Fashion,2799,1450,11196,2799.0,8397.0,5800,2597.0,30.92771227819459,Large,High-Value,2024,July,2024-07
O0020,2024-08-08,C011,P016,1,20,UPI,Delivered,1.0,Rahul Verma,Male,25,Noida,Uttar Pradesh,2023-07-07,Bedsheet Set,Home Decor,1799,850,1799,359.8,1439.2,850,589.2,40.939410783768764,Medium,Regular,2024,August,2024-08
O0021,2024-08-19,C024,P023,2,15,Credit Card,Delivered,4.0,Ananya Sharma,Female,44,Mumbai,Maharashtra,2024-02-13,Skin Care Kit,Beauty,1999,1050,3998,599.7,3398.3,2100,1298.3000000000002,38.20439631580497,Medium,Regular,2024,August,2024-08
O0022,2024-08-30,C037,P005,3,10,Debit Card,Delivered,2.0,Sanjay Das,Male,27,Hyderabad,Telangana,2024-09-21,USB-C Hub,Electronics,1899,1050,5697,569.7,5127.3,3150,1977.3000000000002,38.56415657363525,Large,High-Value,2024,August,2024-08
O0023,2024-09-10,C050,P012,4,5,Cash on Delivery,Delivered,5.0,Neha Khan,Female,46,Kolkata,West Bengal,2023-07-20,Electric Kettle,Home Appliances,1599,880,6396,319.8,6076.2,3520,2556.2,42.069056318093544,Large,High-Value,2024,September,2024-09
O0024,2024-09-21,C013,P019,1,0,Net Banking,Delivered,3.0,Aman Das,Male,39,Gurugram,Haryana,2023-08-10,Python for Analysts,Books,699,290,699,0.0,699.0,290,409.0,58.51216022889842,Small,Regular,2024,September,2024-09
O0025,2024-10-02,C026,P001,2,25,UPI,Delivered,1.0,Meera Khan,Female,22,Bengaluru,Karnataka,2024-03-18,Wireless Mouse,Electronics,899,510,1798,449.5,1348.5,1020,328.5,24.360400444938822,Medium,Regular,2024,October,2024-10
O0026,2024-10-13,C039,P008,3,20,Credit Card,Delivered,4.0,Varun Patel,Male,41,Jaipur,Rajasthan,2023-01-14,Denim Jeans,Fashion,2199,1100,6597,1319.4,5277.6,3300,1977.6000000000004,37.47157798999546,Large,High-Value,2024,October,2024-10
O0027,2024-10-24,C002,P015,4,15,Debit Card,Delivered,2.0,Aditi Khan,Female,34,Delhi,Delhi,2023-02-04,Wall Clock,Home Decor,999,430,3996,599.4,3396.6,1720,1676.6,49.36112583171406,Medium,Regular,2024,October,2024-10
O0028,2024-11-04,C015,P022,1,10,Cash on Delivery,Returned,5.0,Nikhil Patel,Male,53,Pune,Maharashtra,2023-09-13,Dumbbell Set,Fitness,3499,2200,3499,349.9,3149.1,2200,949.0999999999999,30.13876980724651,Medium,Regular,2024,November,2024-11
O0029,2024-11-15,C028,P004,2,5,Net Banking,Cancelled,3.0,Kavya Mehta,Female,36,Chennai,Tamil Nadu,2024-04-21,Laptop Stand,Electronics,1499,800,2998,149.9,2848.1,1600,1248.1,43.82219725430989,Medium,Regular,2024,November,2024-11
O0030,2024-11-26,C041,P011,3,0,UPI,Delivered,1.0,Aarav Gupta,Male,55,Noida,Uttar Pradesh,2023-02-17,Mixer Grinder,Home Appliances,3799,2450,11397,0.0,11397.0,7350,4047.0,35.50934456435904,Large,High-Value,2024,November,2024-11
O0031,2024-12-07,C004,P018,4,25,Credit Card,Delivered,4.0,Ananya Mehta,Female,48,Mumbai,Maharashtra,2023-03-10,Study Table,Furniture,7299,4700,29196,7299.0,21897.0,18800,3097.0,14.14348997579577,Large,High-Value,2024,December,2024-12
O0032,2024-12-18,C017,P025,1,20,Debit Card,Delivered,2.0,Sanjay Gupta,Male,31,Hyderabad,Telangana,2023-10-17,Coffee Maker,Home Appliances,5299,3400,5299,1059.8,4239.2,3400,839.1999999999998,19.796187959992448,Medium,Regular,2024,December,2024-12
O0033,2024-12-29,C030,P007,2,15,Cash on Delivery,Delivered,5.0,Neha Singh,Female,50,Kolkata,West Bengal,2024-05-25,Casual Shirt,Fashion,1299,620,2598,389.7,2208.3,1240,968.3000000000002,43.84820902957026,Medium,Regular,2024,December,2024-12
O0034,2025-01-09,C043,P014,3,10,Net Banking,Delivered,3.0,Arjun Verma,Male,33,Gurugram,Haryana,2023-03-23,Table Lamp,Home Decor,1199,570,3597,359.7,3237.3,1710,1527.3000000000002,47.17820405893801,Medium,Regular,2025,January,2025-01
O0035,2025-01-20,C006,P021,4,5,UPI,Delivered,1.0,Meera Singh,Female,26,Bengaluru,Karnataka,2023-04-13,Yoga Mat,Fitness,1299,610,5196,259.8,4936.2,2440,2496.2,50.56926380616669,Medium,High-Value,2025,January,2025-01
O0036,2025-01-31,C019,P003,1,0,Credit Card,Delivered,4.0,Varun Verma,Male,45,Jaipur,Rajasthan,2023-11-20,Smart Watch,Electronics,4999,3100,4999,0.0,4999.0,3100,1899.0,37.9875975195039,Medium,High-Value,2025,January,2025-01
O0037,2025-02-11,C032,P010,2,25,Debit Card,Delivered,2.0,Priya Sharma,Female,28,Delhi,Delhi,2024-06-28,Winter Jacket,Fashion,4499,2500,8998,2249.5,6748.5,5000,1748.5,25.909461361784096,Large,High-Value,2025,February,2025-02
O0038,2025-02-22,C045,P017,3,20,Cash on Delivery,Returned,3.0,Kabir Das,Male,47,Pune,Maharashtra,2023-04-26,Office Chair,Furniture,8499,5600,25497,5099.4,20397.6,16800,3597.5999999999985,17.637369102247316,Large,High-Value,2025,February,2025-02
O0039,2025-03-05,C008,P024,4,15,Net Banking,Cancelled,3.0,Kavya Sharma,Female,40,Chennai,Tamil Nadu,2023-05-17,Hair Dryer,Beauty,2299,1320,9196,1379.4,7816.6,5280,2536.6000000000004,32.45144947931326,Large,High-Value,2025,March,2025-03
O0040,2025-03-16,C021,P006,1,10,UPI,Delivered,1.0,Aarav Das,Male,23,Noida,Uttar Pradesh,2023-12-24,Running Shoes,Fashion,3299,1900,3299,329.9,2969.1,1900,1069.1,36.00754437371594,Medium,Regular,2025,March,2025-03
O0041,2025-03-27,C034,P013,2,5,Credit Card,Delivered,4.0,Isha Khan,Female,42,Mumbai,Maharashtra,2024-08-01,Air Fryer,Home Appliances,6999,4350,13998,699.9,13298.1,8700,4598.1,34.57712003970492,Large,High-Value,2025,March,2025-03
O0042,2025-04-07,C047,P020,3,0,Debit Card,Delivered,2.0,Rohan Patel,Male,25,Hyderabad,Telangana,2023-05-30,Data Science Handbook,Books,999,410,2997,0.0,2997.0,1230,1767.0,58.95895895895896,Medium,Regular,2025,April,2025-04
O0043,2025-04-18,C010,P002,4,25,Cash on Delivery,Delivered,5.0,Neha Khan,Female,54,Kolkata,West Bengal,2023-06-20,Bluetooth Speaker,Electronics,2499,1550,9996,2499.0,7497.0,6200,1297.0,17.300253434707216,Large,High-Value,2025,April,2025-04
O0044,2025-04-29,C023,P009,1,20,Net Banking,Delivered,3.0,Arjun Patel,Male,37,Gurugram,Haryana,2024-01-27,Handbag,Fashion,2799,1450,2799,559.8,2239.2,1450,789.1999999999998,35.24473026080743,Medium,Regular,2025,April,2025-04
O0045,2025-05-10,C036,P016,2,15,UPI,Delivered,1.0,Pooja Mehta,Female,20,Bengaluru,Karnataka,2024-09-04,Bedsheet Set,Home Decor,1799,850,3598,539.7,3058.3,1700,1358.3000000000002,44.4135630906059,Medium,Regular,2025,May,2025-05
O0046,2025-05-21,C049,P023,3,10,Credit Card,Delivered,4.0,Vivek Gupta,Male,39,Jaipur,Rajasthan,2023-07-03,Skin Care Kit,Beauty,1999,1050,5997,599.7,5397.3,3150,2247.3,41.63748540937136,Large,High-Value,2025,May,2025-05
O0047,2025-06-01,C012,P005,4,5,Debit Card,Delivered,2.0,Priya Mehta,Female,32,Delhi,Delhi,2023-07-24,USB-C Hub,Electronics,1899,1050,7596,379.8,7216.2,4200,3016.2,41.79762201712813,Large,High-Value,2025,June,2025-06
O0048,2025-06-12,C025,P012,1,0,Cash on Delivery,Returned,5.0,Kabir Gupta,Male,51,Pune,Maharashtra,2024-03-01,Electric Kettle,Home Appliances,1599,880,1599,0.0,1599.0,880,719.0,44.96560350218887,Medium,Regular,2025,June,2025-06
O0049,2025-06-23,C038,P019,2,25,Net Banking,Cancelled,3.0,Ritika Singh,Female,34,Chennai,Tamil Nadu,2024-10-08,Python for Analysts,Books,699,290,1398,349.5,1048.5,580,468.5,44.682880305197905,Medium,Regular,2025,June,2025-06
O0050,2025-07-04,C001,P001,3,20,UPI,Delivered,1.0,Aarav Gupta,Male,27,Noida,Uttar Pradesh,2023-01-18,Wireless Mouse,Electronics,899,510,2697,539.4,2157.6,1530,627.5999999999999,29.087875417130142,Medium,Regular,2025,July,2025-07
O0051,2025-07-15,C014,P008,4,15,Credit Card,Delivered,4.0,Isha Singh,Female,46,Mumbai,Maharashtra,2023-08-27,Denim Jeans,Fashion,2199,1100,8796,1319.4,7476.6,4400,3076.6000000000004,41.149720461172194,Large,High-Value,2025,July,2025-07
O0052,2025-07-26,C027,P015,1,10,Debit Card,Delivered,2.0,Rohan Verma,Male,29,Hyderabad,Telangana,2024-04-04,Wall Clock,Home Decor,999,430,999,99.9,899.1,430,469.1,52.174396618841065,Small,Regular,2025,July,2025-07
O0053,2025-08-06,C040,P022,2,5,Cash on Delivery,Delivered,5.0,Simran Sharma,Female,48,Kolkata,West Bengal,2023-01-31,Dumbbell Set,Fitness,3499,2200,6998,349.9,6648.1,4400,2248.1000000000004,33.8156766594967,Large,High-Value,2025,August,2025-08
O0054,2025-08-17,C003,P004,3,0,Net Banking,Delivered,3.0,Arjun Verma,Male,41,Gurugram,Haryana,2023-02-21,Laptop Stand,Electronics,1499,800,4497,0.0,4497.0,2400,2097.0,46.63108739159439,Medium,High-Value,2025,August,2025-08
O0055,2025-08-28,C016,P011,4,25,UPI,Delivered,1.0,Pooja Sharma,Female,24,Bengaluru,Karnataka,2023-09-30,Mixer Grinder,Home Appliances,3799,2450,15196,3799.0,11397.0,9800,1597.0,14.01245941914539,Large,High-Value,2025,August,2025-08
O0056,2025-09-08,C029,P018,1,20,Credit Card,Delivered,4.0,Vivek Das,Male,43,Jaipur,Rajasthan,2024-05-08,Study Table,Furniture,7299,4700,7299,1459.8,5839.2,4700,1139.1999999999998,19.509521852308534,Large,High-Value,2025,September,2025-09
O0057,2025-09-19,C042,P025,2,15,Debit Card,Delivered,3.0,Aditi Khan,Female,26,Delhi,Delhi,2023-03-06,Coffee Maker,Home Appliances,5299,3400,10598,1589.7,9008.3,6800,2208.2999999999993,24.514059256463476,Large,High-Value,2025,September,2025-09
O0058,2025-09-30,C005,P007,3,10,Cash on Delivery,Returned,5.0,Kabir Das,Male,55,Pune,Maharashtra,2023-03-27,Casual Shirt,Fashion,1299,620,3897,389.7,3507.3,1860,1647.3000000000002,46.96775297237191,Medium,Regular,2025,September,2025-09
O0059,2025-10-11,C018,P014,4,5,Net Banking,Cancelled,3.0,Ritika Khan,Female,38,Chennai,Tamil Nadu,2023-11-03,Table Lamp,Home Decor,1199,570,4796,239.8,4556.2,2280,2276.2,49.95829858215179,Medium,High-Value,2025,October,2025-10
O0060,2025-10-22,C031,P021,1,0,UPI,Delivered,1.0,Rahul Patel,Male,21,Noida,Uttar Pradesh,2024-06-11,Yoga Mat,Fitness,1299,610,1299,0.0,1299.0,610,689.0,53.04080061585835,Medium,Regular,2025,October,2025-10
O0061,2025-11-02,C044,P003,2,25,Credit Card,Delivered,4.0,Ananya Mehta,Female,40,Mumbai,Maharashtra,2023-04-09,Smart Watch,Electronics,4999,3100,9998,2499.5,7498.5,6200,1298.5,17.31679669267187,Large,High-Value,2025,November,2025-11
O0062,2025-11-13,C007,P010,3,20,Debit Card,Delivered,2.0,Rohan Patel,Male,33,Hyderabad,Telangana,2023-04-30,Winter Jacket,Fashion,4499,2500,13497,2699.4,10797.6,7500,3297.6000000000004,30.540120026672597,Large,High-Value,2025,November,2025-11
O0063,2025-11-24,C020,P017,4,15,Cash on Delivery,Delivered,5.0,Simran Mehta,Female,52,Kolkata,West Bengal,2023-12-07,Office Chair,Furniture,8499,5600,33996,5099.4,28896.6,22400,6496.5999999999985,22.482229743291597,Large,High-Value,2025,November,2025-11
O0064,2025-12-05,C033,P024,1,10,Net Banking,Delivered,3.0,Aman Gupta,Male,35,Gurugram,Haryana,2024-07-15,Hair Dryer,Beauty,2299,1320,2299,229.9,2069.1,1320,749.0999999999999,36.20414673046252,Medium,Regular,2025,December,2025-12
O0065,2025-12-16,C046,P006,2,5,UPI,Delivered,1.0,Meera Singh,Female,54,Bengaluru,Karnataka,2023-05-13,Running Shoes,Fashion,3299,1900,6598,329.9,6268.1,3800,2468.1000000000004,39.375568354046685,Large,High-Value,2025,December,2025-12
O0066,2025-12-27,C009,P013,3,0,Credit Card,Delivered,4.0,Vivek Gupta,Male,47,Jaipur,Rajasthan,2023-06-03,Air Fryer,Home Appliances,6999,4350,20997,0.0,20997.0,13050,7947.0,37.84826403771967,Large,High-Value,2025,December,2025-12
O0067,2024-01-08,C022,P020,4,25,Debit Card,Delivered,2.0,Aditi Singh,Female,30,Delhi,Delhi,2024-01-10,Data Science Handbook,Books,999,410,3996,999.0,2997.0,1640,1357.0,45.27861194527861,Medium,Regular,2024,January,2024-01
O0068,2024-01-19,C035,P002,1,20,Cash on Delivery,Returned,5.0,Nikhil Verma,Male,49,Pune,Maharashtra,2024-08-18,Bluetooth Speaker,Electronics,2499,1550,2499,499.8,1999.2,1550,449.20000000000005,22.46898759503802,Medium,Regular,2024,January,2024-01
O0069,2024-01-30,C048,P009,2,15,Net Banking,Cancelled,3.0,Kavya Sharma,Female,32,Chennai,Tamil Nadu,2023-06-16,Handbag,Fashion,2799,1450,5598,839.7,4758.3,2900,1858.3000000000002,39.053863774877584,Medium,High-Value,2024,January,2024-01
O0070,2024-02-10,C011,P016,3,10,UPI,Delivered,1.0,Rahul Verma,Male,25,Noida,Uttar Pradesh,2023-07-07,Bedsheet Set,Home Decor,1799,850,5397,539.7,4857.3,2550,2307.3,47.50169847446112,Medium,High-Value,2024,February,2024-02
O0071,2024-02-21,C024,P023,4,5,Credit Card,Delivered,4.0,Ananya Sharma,Female,44,Mumbai,Maharashtra,2024-02-13,Skin Care Kit,Beauty,1999,1050,7996,399.8,7596.2,4200,3396.2,44.709196703614964,Large,High-Value,2024,February,2024-02
O0072,2024-03-03,C037,P005,1,0,Debit Card,Delivered,2.0,Sanjay Das,Male,27,Hyderabad,Telangana,2024-09-21,USB-C Hub,Electronics,1899,1050,1899,0.0,1899.0,1050,849.0,44.70774091627172,Medium,Regular,2024,March,2024-03
O0073,2024-03-14,C050,P012,2,25,Cash on Delivery,Delivered,5.0,Neha Khan,Female,46,Kolkata,West Bengal,2023-07-20,Electric Kettle,Home Appliances,1599,880,3198,799.5,2398.5,1760,638.5,26.62080466958516,Medium,Regular,2024,March,2024-03
O0074,2024-03-25,C013,P019,3,20,Net Banking,Delivered,3.0,Aman Das,Male,39,Gurugram,Haryana,2023-08-10,Python for Analysts,Books,699,290,2097,419.4,1677.6,870,807.5999999999999,48.14020028612303,Medium,Regular,2024,March,2024-03
O0075,2024-04-05,C026,P001,4,15,UPI,Delivered,1.0,Meera Khan,Female,22,Bengaluru,Karnataka,2024-03-18,Wireless Mouse,Electronics,899,510,3596,539.4,3056.6,2040,1016.5999999999999,33.25917686318131,Medium,Regular,2024,April,2024-04
O0076,2024-04-16,C039,P008,1,10,Credit Card,Delivered,3.0,Varun Patel,Male,41,Jaipur,Rajasthan,2023-01-14,Denim Jeans,Fashion,2199,1100,2199,219.9,1979.1,1100,879.0999999999999,44.41918043555151,Medium,Regular,2024,April,2024-04
O0077,2024-04-27,C002,P015,2,5,Debit Card,Delivered,2.0,Aditi Khan,Female,34,Delhi,Delhi,2023-02-04,Wall Clock,Home Decor,999,430,1998,99.9,1898.1,860,1038.1,54.69153363890206,Medium,Regular,2024,April,2024-04
O0078,2024-05-08,C015,P022,3,0,Cash on Delivery,Returned,5.0,Nikhil Patel,Male,53,Pune,Maharashtra,2023-09-13,Dumbbell Set,Fitness,3499,2200,10497,0.0,10497.0,6600,3897.0,37.124892826521865,Large,High-Value,2024,May,2024-05
O0079,2024-05-19,C028,P004,4,25,Net Banking,Cancelled,3.0,Kavya Mehta,Female,36,Chennai,Tamil Nadu,2024-04-21,Laptop Stand,Electronics,1499,800,5996,1499.0,4497.0,3200,1297.0,28.841449855459196,Medium,High-Value,2024,May,2024-05
O0080,2024-05-30,C041,P011,1,20,UPI,Delivered,1.0,Aarav Gupta,Male,55,Noida,Uttar Pradesh,2023-02-17,Mixer Grinder,Home Appliances,3799,2450,3799,759.8,3039.2,2450,589.1999999999998,19.386680705448796,Medium,Regular,2024,May,2024-05
O0081,2024-06-10,C004,P018,2,15,Credit Card,Delivered,4.0,Ananya Mehta,Female,48,Mumbai,Maharashtra,2023-03-10,Study Table,Furniture,7299,4700,14598,2189.7,12408.3,9400,3008.2999999999993,24.244255860996265,Large,High-Value,2024,June,2024-06
O0082,2024-06-21,C017,P025,3,10,Debit Card,Delivered,2.0,Sanjay Gupta,Male,31,Hyderabad,Telangana,2023-10-17,Coffee Maker,Home Appliances,5299,3400,15897,1589.7,14307.3,10200,4107.299999999999,28.7077226311044,Large,High-Value,2024,June,2024-06
O0083,2024-07-02,C030,P007,4,5,Cash on Delivery,Delivered,5.0,Neha Singh,Female,50,Kolkata,West Bengal,2024-05-25,Casual Shirt,Fashion,1299,620,5196,259.8,4936.2,2480,2456.2,49.75892386856286,Medium,High-Value,2024,July,2024-07
O0084,2024-07-13,C043,P014,1,0,Net Banking,Delivered,3.0,Arjun Verma,Male,33,Gurugram,Haryana,2023-03-23,Table Lamp,Home Decor,1199,570,1199,0.0,1199.0,570,629.0,52.460383653044204,Medium,Regular,2024,July,2024-07
O0085,2024-07-24,C006,P021,2,25,UPI,Delivered,1.0,Meera Singh,Female,26,Bengaluru,Karnataka,2023-04-13,Yoga Mat,Fitness,1299,610,2598,649.5,1948.5,1220,728.5,37.387734154477805,Medium,Regular,2024,July,2024-07
O0086,2024-08-04,C019,P003,3,20,Credit Card,Delivered,4.0,Varun Verma,Male,45,Jaipur,Rajasthan,2023-11-20,Smart Watch,Electronics,4999,3100,14997,2999.4,11997.6,9300,2697.6000000000004,22.484496899379877,Large,High-Value,2024,August,2024-08
O0087,2024-08-15,C032,P010,4,15,Debit Card,Delivered,2.0,Priya Sharma,Female,28,Delhi,Delhi,2024-06-28,Winter Jacket,Fashion,4499,2500,17996,2699.4,15296.6,10000,5296.6,34.62599531922127,Large,High-Value,2024,August,2024-08
O0088,2024-08-26,C045,P017,1,10,Cash on Delivery,Returned,5.0,Kabir Das,Male,47,Pune,Maharashtra,2023-04-26,Office Chair,Furniture,8499,5600,8499,849.9,7649.1,5600,2049.1000000000004,26.788772535330956,Large,High-Value,2024,August,2024-08
O0089,2024-09-06,C008,P024,2,5,Net Banking,Cancelled,3.0,Kavya Sharma,Female,40,Chennai,Tamil Nadu,2023-05-17,Hair Dryer,Beauty,2299,1320,4598,229.9,4368.1,2640,1728.1000000000004,39.56182321833292,Medium,Regular,2024,September,2024-09
O0090,2024-09-17,C021,P006,3,0,UPI,Delivered,1.0,Aarav Das,Male,23,Noida,Uttar Pradesh,2023-12-24,Running Shoes,Fashion,3299,1900,9897,0.0,9897.0,5700,4197.0,42.406789936344346,Large,High-Value,2024,September,2024-09
O0091,2024-09-28,C034,P013,4,25,Credit Card,Delivered,4.0,Isha Khan,Female,42,Mumbai,Maharashtra,2024-08-01,Air Fryer,Home Appliances,6999,4350,27996,6999.0,20997.0,17400,3597.0,17.131018716959563,Large,High-Value,2024,September,2024-09
O0092,2024-10-09,C047,P020,1,20,Debit Card,Delivered,2.0,Rohan Patel,Male,25,Hyderabad,Telangana,2023-05-30,Data Science Handbook,Books,999,410,999,199.8,799.2,410,389.20000000000005,48.6986986986987,Small,Regular,2024,October,2024-10
O0093,2024-10-20,C010,P002,2,15,Cash on Delivery,Delivered,5.0,Neha Khan,Female,54,Kolkata,West Bengal,2023-06-20,Bluetooth Speaker,Electronics,2499,1550,4998,749.7,4248.3,3100,1148.3000000000002,27.029635383565193,Medium,Regular,2024,October,2024-10
O0094,2024-10-31,C023,P009,3,10,Net Banking,Delivered,3.0,Arjun Patel,Male,37,Gurugram,Haryana,2024-01-27,Handbag,Fashion,2799,1450,8397,839.7,7557.3,4350,3207.3,42.43976023182883,Large,High-Value,2024,October,2024-10
O0095,2024-11-11,C036,P016,4,5,UPI,Delivered,3.0,Pooja Mehta,Female,20,Bengaluru,Karnataka,2024-09-04,Bedsheet Set,Home Decor,1799,850,7196,359.8,6836.2,3400,3436.2,50.26476697580527,Large,High-Value,2024,November,2024-11
O0096,2024-11-22,C049,P023,1,0,Credit Card,Delivered,4.0,Vivek Gupta,Male,39,Jaipur,Rajasthan,2023-07-03,Skin Care Kit,Beauty,1999,1050,1999,0.0,1999.0,1050,949.0,47.473736868434216,Medium,Regular,2024,November,2024-11
O0097,2024-12-03,C012,P005,2,25,Debit Card,Delivered,2.0,Priya Mehta,Female,32,Delhi,Delhi,2023-07-24,USB-C Hub,Electronics,1899,1050,3798,949.5,2848.5,2100,748.5,26.276987888362296,Medium,Regular,2024,December,2024-12
O0098,2024-12-14,C025,P012,3,20,Cash on Delivery,Returned,5.0,Kabir Gupta,Male,51,Pune,Maharashtra,2024-03-01,Electric Kettle,Home Appliances,1599,880,4797,959.4,3837.6,2640,1197.6,31.207004377736087,Medium,Regular,2024,December,2024-12
O0099,2024-12-25,C038,P019,4,15,Net Banking,Cancelled,3.0,Ritika Singh,Female,34,Chennai,Tamil Nadu,2024-10-08,Python for Analysts,Books,699,290,2796,419.4,2376.6,1160,1216.6,51.1907767398805,Medium,Regular,2024,December,2024-12
O0100,2025-01-05,C001,P001,1,10,UPI,Delivered,1.0,Aarav Gupta,Male,27,Noida,Uttar Pradesh,2023-01-18,Wireless Mouse,Electronics,899,510,899,89.9,809.1,510,299.1,36.96700037078236,Small,Regular,2025,January,2025-01
O0101,2025-01-16,C014,P008,2,5,Credit Card,Delivered,4.0,Isha Singh,Female,46,Mumbai,Maharashtra,2023-08-27,Denim Jeans,Fashion,2199,1100,4398,219.9,4178.1,2200,1978.1000000000004,47.34448672841723,Medium,Regular,2025,January,2025-01
